datetime,temperatureF,humidity,visibilityMPH,windSpeedMPH,precipitationIn,conditions
2013-06-27 00:51:00,71.1,78,7.0,Calm,N/A,Scattered Clouds
2013-06-27 01:51:00,68.0,84,6.0,Calm,N/A,Haze
2013-06-27 02:51:00,68.0,87,5.0,4.6,N/A,Partly Cloudy
2013-06-27 03:51:00,66.9,87,5.0,Calm,N/A,Partly Cloudy
2013-06-27 04:51:00,66.9,90,5.0,Calm,N/A,Scattered Clouds
2013-06-27 05:51:00,68.0,87,4.0,Calm,N/A,Mostly Cloudy
2013-06-27 06:51:00,71.1,81,7.0,Calm,N/A,Scattered Clouds
2013-06-27 07:51:00,73.9,76,9.0,4.6,N/A,Scattered Clouds
2013-06-27 08:51:00,78.1,66,10.0,5.8,N/A,Scattered Clouds
2013-06-27 09:51:00,82.0,65,10.0,10.4,N/A,Scattered Clouds
2013-06-27 10:51:00,82.9,63,10.0,11.5,N/A,Mostly Cloudy
2013-06-27 11:51:00,87.1,51,10.0,10.4,N/A,Mostly Cloudy
2013-06-27 12:51:00,89.1,48,10.0,13.8,N/A,Mostly Cloudy
2013-06-27 13:51:00,89.1,46,10.0,9.2,N/A,Mostly Cloudy
2013-06-27 14:51:00,90.0,42,10.0,13.8,N/A,Mostly Cloudy
2013-06-27 15:51:00,90.0,40,10.0,16.1,N/A,Mostly Cloudy
2013-06-27 16:51:00,88.0,43,10.0,17.3,N/A,Mostly Cloudy
2013-06-27 17:51:00,87.1,46,10.0,15.0,0.00,Light Thunderstorms and Rain
2013-06-27 18:51:00,73.9,76,10.0,Calm,0.59,Scattered Clouds
2013-06-27 19:51:00,75.9,76,10.0,3.5,N/A,Scattered Clouds
2013-06-27 20:51:00,75.9,76,10.0,3.5,N/A,Partly Cloudy
2013-06-27 21:51:00,73.0,84,10.0,Calm,N/A,Partly Cloudy
2013-06-27 22:51:00,75.0,66,10.0,6.9,N/A,Partly Cloudy
2013-06-27 23:51:00,75.0,62,10.0,6.9,N/A,Partly Cloudy
2013-06-28 00:51:00,75.0,57,10.0,9.2,N/A,Partly Cloudy
2013-06-28 01:51:00,73.0,64,10.0,9.2,N/A,Clear
2013-06-28 02:51:00,73.0,61,10.0,10.4,N/A,Clear
2013-06-28 03:51:00,72.0,64,10.0,6.9,N/A,Clear
2013-06-28 04:51:00,70.0,68,10.0,6.9,N/A,Partly Cloudy
2013-06-28 05:51:00,69.1,70,10.0,6.9,N/A,Partly Cloudy
2013-06-28 06:51:00,71.1,66,10.0,9.2,N/A,Partly Cloudy
2013-06-28 07:51:00,75.0,57,10.0,8.1,N/A,Partly Cloudy
2013-06-28 08:51:00,77.0,50,10.0,10.4,N/A,Scattered Clouds
2013-06-28 09:51:00,79.0,48,10.0,11.5,N/A,Scattered Clouds
2013-06-28 10:51:00,81.0,45,10.0,11.5,N/A,Scattered Clouds
2013-06-28 11:51:00,82.0,45,10.0,12.7,N/A,Scattered Clouds
2013-06-28 12:51:00,82.0,41,10.0,18.4,N/A,Scattered Clouds
2013-06-28 13:51:00,81.0,41,10.0,18.4,N/A,Mostly Cloudy
2013-06-28 14:51:00,82.9,38,10.0,15.0,N/A,Mostly Cloudy
2013-06-28 15:51:00,71.1,78,10.0,10.4,0.13,Mostly Cloudy
2013-06-28 16:51:00,72.0,71,10.0,8.1,0.00,Mostly Cloudy
2013-06-28 17:51:00,75.0,62,10.0,13.8,N/A,Mostly Cloudy
2013-06-28 18:51:00,73.0,71,10.0,8.1,0.02,Mostly Cloudy
2013-06-28 19:51:00,73.0,66,10.0,11.5,N/A,Mostly Cloudy
2013-06-28 20:51:00,73.0,66,10.0,6.9,N/A,Mostly Cloudy
2013-06-28 21:51:00,71.1,73,10.0,5.8,0.01,Light Rain
2013-06-28 22:51:00,69.1,81,10.0,3.5,0.00,Mostly Cloudy
2013-06-28 23:51:00,69.1,81,10.0,4.6,N/A,Mostly Cloudy
2013-06-29 00:51:00,68.0,76,10.0,8.1,N/A,Scattered Clouds
2013-06-29 01:51:00,66.9,81,10.0,8.1,N/A,Mostly Cloudy
2013-06-29 02:51:00,66.0,78,10.0,5.8,N/A,Mostly Cloudy
2013-06-29 03:51:00,66.0,81,10.0,8.1,N/A,Overcast
2013-06-29 04:51:00,64.9,84,10.0,11.5,N/A,Mostly Cloudy
2013-06-29 05:51:00,64.9,84,10.0,6.9,N/A,Overcast
2013-06-29 06:51:00,64.9,87,7.0,10.4,N/A,Overcast
2013-06-29 07:51:00,64.9,84,8.0,10.4,N/A,Overcast
2013-06-29 08:51:00,64.9,87,8.0,10.4,N/A,Overcast
2013-06-29 09:51:00,66.0,84,8.0,11.5,N/A,Overcast
2013-06-29 10:51:00,66.9,81,8.0,9.2,N/A,Overcast
2013-06-29 11:51:00,66.9,81,8.0,12.7,N/A,Overcast
2013-06-29 12:51:00,69.1,78,8.0,12.7,N/A,Overcast
2013-06-29 13:51:00,70.0,76,9.0,13.8,N/A,Overcast
2013-06-29 14:51:00,69.1,75,10.0,15.0,N/A,Overcast
2013-06-29 15:51:00,69.1,70,10.0,18.4,N/A,Mostly Cloudy
2013-06-29 16:51:00,71.1,59,10.0,18.4,N/A,Mostly Cloudy
2013-06-29 17:51:00,69.1,65,10.0,17.3,N/A,Mostly Cloudy
2013-06-29 18:51:00,66.9,66,10.0,17.3,N/A,Overcast
2013-06-29 19:51:00,66.9,59,10.0,16.1,N/A,Overcast
2013-06-29 20:51:00,66.0,63,10.0,13.8,N/A,Overcast
2013-06-29 21:51:00,66.0,68,10.0,11.5,N/A,Overcast
2013-06-29 22:51:00,64.9,75,7.0,11.5,0.00,Light Rain
2013-06-29 23:51:00,64.9,75,10.0,9.2,0.00,Overcast
2013-06-30 00:51:00,64.0,78,10.0,9.2,N/A,Overcast
2013-06-30 01:51:00,64.9,78,10.0,10.4,N/A,Overcast
2013-06-30 02:51:00,66.0,75,10.0,10.4,N/A,Overcast
2013-06-30 03:51:00,64.0,80,10.0,10.4,N/A,Scattered Clouds
2013-06-30 04:51:00,64.0,80,10.0,11.5,N/A,Mostly Cloudy
2013-06-30 05:51:00,64.0,80,10.0,8.1,N/A,Mostly Cloudy
2013-06-30 06:51:00,66.0,78,10.0,10.4,N/A,Mostly Cloudy
2013-06-30 07:51:00,66.9,73,10.0,16.1,N/A,Mostly Cloudy
2013-06-30 08:51:00,68.0,70,10.0,13.8,N/A,Mostly Cloudy
2013-06-30 09:51:00,70.0,63,10.0,13.8,N/A,Mostly Cloudy
2013-06-30 10:51:00,73.0,57,10.0,12.7,N/A,Mostly Cloudy
2013-06-30 11:51:00,73.9,55,10.0,12.7,N/A,Scattered Clouds
2013-06-30 12:51:00,75.0,50,10.0,17.3,N/A,Scattered Clouds
2013-06-30 13:51:00,73.9,50,10.0,17.3,N/A,Mostly Cloudy
2013-06-30 14:51:00,75.9,46,10.0,19.6,N/A,Scattered Clouds
2013-06-30 15:51:00,75.0,44,10.0,18.4,N/A,Scattered Clouds
2013-06-30 16:51:00,75.0,36,10.0,21.9,N/A,Scattered Clouds
2013-06-30 17:51:00,73.0,34,10.0,21.9,N/A,Scattered Clouds
2013-06-30 18:51:00,72.0,31,10.0,19.6,N/A,Scattered Clouds
2013-06-30 19:51:00,70.0,33,10.0,16.1,N/A,Scattered Clouds
2013-06-30 20:51:00,69.1,40,10.0,15.0,N/A,Mostly Cloudy
2013-06-30 21:51:00,68.0,43,10.0,10.4,N/A,Mostly Cloudy
2013-06-30 22:51:00,66.0,50,10.0,12.7,N/A,Partly Cloudy
2013-06-30 23:51:00,64.9,56,10.0,10.4,N/A,Partly Cloudy
2013-07-01 00:51:00,64.0,63,10.0,10.4,N/A,Partly Cloudy
2013-07-01 01:51:00,63.0,67,10.0,9.2,N/A,Partly Cloudy
2013-07-01 02:51:00,63.0,72,10.0,6.9,N/A,Scattered Clouds
2013-07-01 03:51:00,63.0,70,10.0,8.1,N/A,Scattered Clouds
2013-07-01 04:51:00,62.1,65,10.0,9.2,N/A,Scattered Clouds
2013-07-01 05:51:00,62.1,67,10.0,10.4,N/A,Mostly Cloudy
2013-07-01 06:51:00,64.0,63,10.0,9.2,N/A,Mostly Cloudy
2013-07-01 07:51:00,66.9,52,10.0,13.8,N/A,Mostly Cloudy
2013-07-01 08:51:00,70.0,46,10.0,15.0,N/A,Scattered Clouds
2013-07-01 09:51:00,71.1,42,10.0,16.1,N/A,Mostly Cloudy
2013-07-01 10:51:00,72.0,43,10.0,15.0,N/A,Scattered Clouds
2013-07-01 11:51:00,73.9,40,10.0,16.1,N/A,Mostly Cloudy
2013-07-01 12:51:00,73.0,41,10.0,20.7,N/A,Mostly Cloudy
2013-07-01 13:51:00,73.9,41,10.0,19.6,N/A,Overcast
2013-07-01 14:51:00,75.0,38,10.0,21.9,N/A,Overcast
2013-07-01 15:51:00,73.9,41,10.0,20.7,N/A,Overcast
2013-07-01 16:51:00,73.9,41,10.0,19.6,N/A,Mostly Cloudy
2013-07-01 17:51:00,73.9,43,10.0,16.1,N/A,Mostly Cloudy
2013-07-01 18:51:00,73.0,46,10.0,13.8,N/A,Scattered Clouds
2013-07-01 19:51:00,70.0,51,10.0,10.4,N/A,Mostly Cloudy
2013-07-01 20:51:00,69.1,53,10.0,10.4,N/A,Mostly Cloudy
2013-07-01 21:51:00,66.9,59,10.0,8.1,N/A,Mostly Cloudy
2013-07-01 22:51:00,69.1,47,10.0,15.0,N/A,Mostly Cloudy
2013-07-01 23:51:00,66.9,59,10.0,9.2,N/A,Overcast
2013-07-02 00:51:00,66.9,57,10.0,12.7,N/A,Overcast
2013-07-02 01:51:00,66.0,60,10.0,11.5,N/A,Mostly Cloudy
2013-07-02 02:51:00,64.9,61,10.0,8.1,N/A,Mostly Cloudy
2013-07-02 03:51:00,64.9,56,10.0,13.8,N/A,Mostly Cloudy
2013-07-02 04:51:00,64.0,60,10.0,10.4,N/A,Mostly Cloudy
2013-07-02 05:51:00,64.0,60,10.0,11.5,N/A,Mostly Cloudy
2013-07-02 06:51:00,63.0,65,10.0,9.2,N/A,Mostly Cloudy
2013-07-02 07:51:00,64.9,61,10.0,11.5,N/A,Mostly Cloudy
2013-07-02 08:51:00,65.0,60,10.0,12.7,N/A,Mostly Cloudy
2013-07-02 09:51:00,66.0,60,10.0,12.7,N/A,Mostly Cloudy
2013-07-02 10:51:00,66.9,61,10.0,11.5,N/A,Mostly Cloudy
2013-07-02 11:51:00,64.0,73,10.0,15.0,0.00,Light Rain
2013-07-02 12:51:00,64.0,73,10.0,13.8,0.00,Overcast
2013-07-02 13:51:00,66.0,65,10.0,16.1,N/A,Overcast
2013-07-02 14:51:00,66.9,61,10.0,16.1,N/A,Overcast
2013-07-02 15:51:00,66.0,63,10.0,15.0,N/A,Overcast
2013-07-02 16:51:00,64.9,65,10.0,16.1,N/A,Overcast
